Source,Target,Type,id,label,timeset,weight
naz3em,valtteribottas,Directed,1063,,,1.0
naz3em,mercedesamgf1,Directed,1064,,,1.0
_dieciagosto,andersonlaura12,Directed,1104,,,1.0
_dieciagosto,mattzel89,Directed,1105,,,1.0
pangianpiter,sebvettelnews,Directed,1111,,,1.0
federicolescano,soy_f1,Directed,1113,,,1.0
dursti85,scuderiaferrari,Directed,1122,,,1.0
dursti85,f1,Directed,1123,,,1.0
kaikgrig,forceindiaf1,Directed,1139,,,1.0
kaikgrig,kaikgrig,Directed,1140,,,1.0
f1_girl_sv,mattzel89,Directed,1161,,,1.0
laurent_bouchet,svandoorne,Directed,1176,,,1.0
laurent_bouchet,oconesteban,Directed,1177,,,1.0
laurent_bouchet,forceindiaf1,Directed,1178,,,1.0
laurent_bouchet,f1,Directed,1179,,,1.0
laurent_bouchet,laf1surcanal,Directed,1180,,,1.0
crf_marcoos,valtteribottas,Directed,1186,,,1.0
crf_marcoos,lewishamilton,Directed,1187,,,1.0
crf_marcoos,managerchampion,Directed,1188,,,1.0
josemanuel_28,movistar_f1,Directed,1190,,,1.0
josemanuel_28,noemidemiguel,Directed,1191,,,1.0
josemanuel_28,pirellisport,Directed,1192,,,1.0
renata55207670,mralexf1,Directed,1217,,,1.0
renata55207670,sebvettelnews,Directed,1218,,,1.0
renata55207670,allthingsvettel,Directed,1219,,,1.0
realjohnyromero,rtlde,Directed,1222,,,1.0
realjohnyromero,podolski10,Directed,1223,,,1.0
realjohnyromero,f1,Directed,1224,,,1.0
vitors2000,valtteribottas,Directed,1255,,,1.0
vitors2000,lewishamilton,Directed,1256,,,1.0
vitors2000,managerchampion,Directed,1257,,,1.0
sadler08,scuderiaferrari,Directed,1263,,,1.0
sadler08,mercedesamgf1,Directed,1264,,,1.0
sadler08,valtteribottas,Directed,1265,,,1.0
sadler08,c4f1,Directed,1266,,,1.0
ajl_f1,essaargp,Directed,1271,,,1.0
alayzell20297,essaargp,Directed,1272,,,1.0
alayzell20297,ajl_f1,Directed,1274,,,1.0
gummy_liz,scuderiaferrari,Directed,1276,,,1.0
gummy_liz,f1,Directed,1277,,,1.0
gummy_liz,sebvettelnews,Directed,1278,,,1.0
gummy_liz,nico_rosberg,Directed,1279,,,1.0
gucepeda,gnsolito,Directed,1298,,,1.0
gucepeda,mercedesamgf1,Directed,1299,,,1.0
gucepeda,scuderiaferrari,Directed,1300,,,1.0
gucepeda,formulahumor,Directed,1301,,,1.0
mathhscosta,valtteribottas,Directed,1302,,,1.0
mathhscosta,lewishamilton,Directed,1303,,,1.0
mathhscosta,managerchampion,Directed,1304,,,1.0
mark_pomfret,valtteribottas,Directed,1321,,,1.0
mark_pomfret,lewishamilton,Directed,1322,,,1.0
mark_pomfret,f1,Directed,1323,,,1.0
mark_pomfret,mercedesamgf1,Directed,1324,,,1.0
kazuyaformula,gianludale27,Directed,1338,,,1.0
kazuyaformula,hulkhulkenberg,Directed,1339,,,1.0
kazuyaformula,renaultsportf1,Directed,1340,,,1.0
kazuyaformula,scuderiaferrari,Directed,1341,,,1.0
franckdeabreu,f1,Directed,1356,,,1.0
franckdeabreu,max33verstappen,Directed,1357,,,1.0
franckdeabreu,valtteribottas,Directed,1358,,,1.0
franckdeabreu,mclarenf1,Directed,1359,,,1.0
adrysns916,scuderiaferrari,Directed,1363,,,1.0
adrysns916,f1,Directed,1364,,,1.0
kendizzlex3,andersonlaura12,Directed,1371,,,1.0
managerchampion,valtteribottas,Directed,1394,,,1.0
managerchampion,lewishamilton,Directed,1395,,,1.0
jb5estrelas,managerchampion,Directed,1396,,,1.0
jb5estrelas,valtteribottas,Directed,1397,,,1.0
jb5estrelas,lewishamilton,Directed,1398,,,1.0
ferrariworld79,mercedesamgf1,Directed,1405,,,1.0
ferrariworld79,scuderiaferrari,Directed,1406,,,1.0
ferrariworld79,formulahumor,Directed,1407,,,1.0
ispanico14,valtteribottas,Directed,1412,,,1.0
ispanico14,lewishamilton,Directed,1413,,,1.0
ispanico14,skysportf1hd,Directed,1414,,,1.0
ispanico14,scuderiaferrari,Directed,1415,,,1.0
moschettalucas,skysportsf1,Directed,1448,,,1.0
moschettalucas,formula1fanzone,Directed,1449,,,1.0
moschettalucas,scuderiaferrari,Directed,1450,,,1.0
antomdcccxxi,mercedesamgf1,Directed,1453,,,1.0
antomdcccxxi,scuderiaferrari,Directed,1454,,,1.0
antomdcccxxi,formulahumor,Directed,1455,,,1.0
thivsweety,danielricciardo,Directed,1456,,,1.0
thivsweety,shanewarne,Directed,1457,,,1.0
thivsweety,ausgrandprix,Directed,1458,,,1.0
thivsweety,wtf1official,Directed,1459,,,1.0
tindelcristhian,f1_paraguay,Directed,1462,,,1.0
tindelcristhian,forof1paraguay,Directed,1463,,,1.0
tindelcristhian,f1,Directed,1464,,,1.0
tindelcristhian,mclarenf1,Directed,1465,,,1.0
jaymilee_,c4f1,Directed,1473,,,1.0
jaymilee_,ausgrandprix,Directed,1474,,,1.0
jaymilee_,f1,Directed,1475,,,1.0
nicoleninaf1,wtf1official,Directed,1496,,,1.0
nicoleninaf1,mclarenf1,Directed,1497,,,1.0
nicoleninaf1,hondaracingf1,Directed,1499,,,1.0
nicoleninaf1,svandoorne,Directed,1500,,,1.0
nicoleninaf1,alo_oficial,Directed,1501,,,1.0
nicoleninaf1,f1,Directed,1502,,,1.0
nicoleninaf1,ausgrandprix,Directed,1503,,,1.0
abaza738,scuderiaferrari,Directed,1523,,,1.0
abaza738,elierizkf1,Directed,1524,,,1.0
ss_may5,shanewarne,Directed,1526,,,1.0
ss_may5,danielricciardo,Directed,1527,,,1.0
