id,label,timeset,followed,followers,tweets,favorites,time zone,componentnumber,modularity_class,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,authority,hub,strongcompnum,pageranks,clustering,eigencentrality
h3r3w3g03,h3r3w3g03,,166,746,8546,1808,Pacific Time (US & Canada),0,8,0,5,5,0.0,5.0,5.0,2.0,0.8571428571428571,0.9166666666666666,0.0,0.0,0.031837676,220,7.349083140198683E-4,0.05000000074505806,0.0
avracing6,avracing6,,1055,746,2214,436,,0,3,0,3,3,0.0,3.0,3.0,2.0,0.7142857142857143,0.8,0.0,0.0,0.042042173,221,7.349083140198683E-4,0.0,0.0
robinso47933191,robinso47933191,,2153,739,61950,187103,,0,2,0,3,3,0.0,3.0,3.0,2.0,0.7142857142857143,0.8,0.0,0.0,0.05280126,222,7.349083140198683E-4,0.1666666716337204,0.0
alycienta_44,alycienta_44,,954,724,30480,5498,Rome,0,3,1,4,5,1.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,0.05646108,223,9.332757657955334E-4,0.3333333432674408,0.004165584184120854
tindelcristhian,tindelcristhian,,707,718,7092,488,Santiago,0,0,0,4,4,0.0,4.0,4.0,2.0,0.8333333333333334,0.9,0.0,0.0,0.030628625,224,7.349083140198683E-4,0.1666666716337204,0.0
americoscatena,americoscatena,,2391,715,15766,31271,,0,8,1,17,18,1.0,17.0,18.0,2.0,0.8636363636363636,0.9210526315789473,0.0,0.0,0.060673423,225,7.735967072564552E-4,0.07352941483259201,0.004165584184120854
siddiqbashar,siddiqbashar,,728,711,19110,6202,Central Time (US & Canada),0,8,0,4,4,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.05974493,226,7.349083140198683E-4,0.0833333358168602,0.0
federicolescano,federicolescano,,934,696,18439,5290,Santiago,0,7,1,3,4,1.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.02762501,227,0.0010255514133666109,0.3333333432674408,0.004165584184120854
blueboopsc,blueboopsc,,1135,690,20772,2924,America/Mexico_City,0,5,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.008682964,228,7.349083140198683E-4,0.0,0.0
ferrarinelcuore,ferrarinelcuore,,118,679,10372,1196,,0,2,1,2,3,1.0,2.0,3.0,3.0,0.5,0.611111111111111,5.0,0.0015408468,0.0031071904,76,8.91110441742804E-4,0.1666666716337204,0.0029423920409498336
pimsterenberg,pimsterenberg,,376,671,79685,73766,,0,3,0,8,8,0.0,8.0,8.0,1.0,1.0,1.0,0.0,0.0,0.069596775,229,7.349083140198683E-4,0.0357142873108387,0.0
lauraduracell,lauraduracell,,927,671,22730,4665,Athens,0,7,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0022388166,230,7.349083140198683E-4,0.1666666716337204,0.0
bizzartino,bizzartino,,482,660,14141,8597,Quito,0,0,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.061056975,231,7.349083140198683E-4,0.1666666716337204,0.0
kleoshloss1,kleoshloss1,,1377,653,7930,1188,Moscow,0,4,0,4,4,0.0,4.0,4.0,2.0,0.75,0.8333333333333334,0.0,0.0,0.045405015,232,7.349083140198683E-4,0.0,0.0
gucepeda,gucepeda,,606,635,7340,2179,Buenos Aires,0,2,0,4,4,0.0,4.0,4.0,2.0,0.75,0.8333333333333334,0.0,0.0,0.045342244,233,7.349083140198683E-4,0.0,0.0
lucasdeu,lucasdeu,,499,629,44140,10254,Buenos Aires,0,0,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.056659397,234,7.349083140198683E-4,0.1666666716337204,0.0
adolfomontalvop,adolfomontalvop,,573,629,6314,1255,Mexico City,0,3,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.055640195,235,7.349083140198683E-4,0.5,0.0
anamariia_k,anamariia_k,,396,628,52669,11437,Amsterdam,0,2,0,4,4,0.0,4.0,4.0,2.0,0.75,0.8333333333333334,0.0,0.0,0.05881051,236,7.349083140198683E-4,0.0833333358168602,0.0
teamamgf1,teamamgf1,,2274,627,10131,3457,,0,2,0,6,6,0.0,6.0,6.0,2.0,0.875,0.9285714285714286,0.0,0.0,0.070975065,237,7.349083140198683E-4,0.06666667014360428,0.0
emma2kroby,emma2kroby,,577,618,30867,3795,,0,2,0,3,3,0.0,3.0,3.0,2.0,0.8,0.875,0.0,0.0,0.023690313,238,7.349083140198683E-4,0.1666666716337204,0.0
robertobaann,robertobaann,,1307,589,38766,5203,Caracas,0,2,0,4,4,0.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,0.06068568,239,7.349083140198683E-4,0.1666666716337204,0.0
explenture,explenture,,943,582,30477,32,America/New_York,0,3,0,4,4,0.0,4.0,4.0,2.0,0.8333333333333334,0.9,0.0,0.0,0.08023711,240,7.349083140198683E-4,0.1666666716337204,0.0
dennybartowski,dennybartowski,,788,579,15069,431,Madrid,0,3,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.027435856,241,0.0012783528723108596,0.5,0.004165584184120854
_dieciagosto,_dieciagosto,,1818,576,48549,74276,Rome,0,8,0,7,7,0.0,7.0,7.0,2.0,0.8888888888888888,0.9375,0.0,0.0,0.030750483,244,7.349083140198683E-4,0.02380952425301075,0.0
humbertodarold,humbertodarold,,1647,575,6842,7080,,0,7,0,4,4,0.0,4.0,4.0,2.0,0.8333333333333334,0.9,0.0,0.0,0.02646786,245,7.349083140198683E-4,0.0833333358168602,0.0
atljie,atljie,,938,571,26770,3613,Madrid,0,0,1,2,3,1.0,2.0,3.0,2.0,0.6666666666666666,0.75,0.0,0.0,0.027611868,246,0.0012783528723108596,0.5,0.004165584184120854
mauro_serafin,mauro_serafin,,1462,568,16258,4336,Rome,0,2,0,3,3,0.0,3.0,3.0,2.0,0.7142857142857143,0.8,0.0,0.0,0.044744115,247,7.349083140198683E-4,0.0,0.0
videsjavi,videsjavi,,352,566,103797,80432,,0,8,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.05695439,248,7.349083140198683E-4,0.1666666716337204,0.0
scotland2888,scotland2888,,616,552,39929,23876,London,0,4,0,11,11,0.0,11.0,11.0,2.0,0.9230769230769231,0.9583333333333334,0.0,0.0,0.10482407,249,7.349083140198683E-4,0.0181818176060915,0.0
oz_f1_motogp,oz_f1_motogp,,177,551,24146,2060,Adelaide,0,0,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.056659397,250,7.349083140198683E-4,0.1666666716337204,0.0
hzq_hzmn,hzq_hzmn,,170,548,41592,497,Kuala Lumpur,0,4,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.057838265,251,7.349083140198683E-4,0.1666666716337204,0.0
william50386522,william50386522,,5001,541,6685,13046,,0,2,0,3,3,0.0,3.0,3.0,2.0,0.7142857142857143,0.8,0.0,0.0,0.05280126,252,7.349083140198683E-4,0.1666666716337204,0.0
mjeedalhidan,mjeedalhidan,,191,539,38144,2951,Riyadh,0,0,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.056659397,253,7.349083140198683E-4,0.1666666716337204,0.0
wagnercabbral,wagnercabbral,,1327,535,89841,158,Santiago,0,3,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0051456336,254,7.349083140198683E-4,0.0,0.0
tandarica48,tandarica48,,9,529,19763,27885,Amsterdam,0,2,0,4,4,0.0,4.0,4.0,2.0,0.8333333333333334,0.9,0.0,0.0,0.034247488,255,7.349083140198683E-4,0.0,0.0
nori_333,nori_333,,1028,524,18137,5370,Tokyo,0,2,0,3,3,0.0,3.0,3.0,2.0,0.8,0.875,0.0,0.0,0.0232956,256,7.349083140198683E-4,0.1666666716337204,0.0
delaclarinette,delaclarinette,,987,521,7621,2415,Athens,0,7,0,3,3,0.0,3.0,3.0,2.0,0.8,0.875,0.0,0.0,0.02773864,257,7.349083140198683E-4,0.1666666716337204,0.0
kaikgrig,kaikgrig,,421,517,3915,6151,Quito,0,5,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.004366647,258,0.0012783528723108596,0.5,0.004165584184120854
carvajavo,carvajavo,,1643,517,5456,491,Central America,0,7,0,3,3,0.0,3.0,3.0,2.0,0.8,0.875,0.0,0.0,0.0030432825,259,7.349083140198683E-4,0.1666666716337204,0.0
fia_formula_1,fia_formula_1,,2475,506,497,17,Pacific Time (US & Canada),0,5,3,1,4,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0028584034,0.0,260,0.005747474024729598,0.3333333432674408,0.012496752552362555
jeseluna8,jeseluna8,,390,505,9401,4942,Mexico City,0,7,1,3,4,1.0,3.0,4.0,2.0,0.75,0.8333333333333334,0.0,0.0,0.028040413,261,0.0010255514133666109,0.3333333432674408,0.004165584184120854
john_stickel,john_stickel,,102,500,150344,134909,Bern,0,0,0,4,4,0.0,4.0,4.0,2.0,0.8333333333333334,0.9,0.0,0.0,0.08023711,262,7.349083140198683E-4,0.1666666716337204,0.0
htswjgblues1,htswjgblues1,,675,499,128404,4440,Tokyo,0,2,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.033249825,263,7.349083140198683E-4,0.3333333432674408,0.0
jgrodriguesf,jgrodriguesf,,336,497,15395,1815,Madrid,0,2,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.019149521,264,7.349083140198683E-4,0.3333333432674408,0.0
goodwoodmar5hal,goodwoodmar5hal,,681,490,4184,2692,,0,0,0,9,9,0.0,9.0,9.0,2.0,0.9090909090909091,0.95,0.0,0.0,0.095185824,265,7.349083140198683E-4,0.02777777798473835,0.0
f1_paraguay,f1_paraguay,,789,484,4130,320,Brasilia,0,0,5,1,6,5.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0066009103,0.0,101,0.011576990981300484,0.30000001192092896,0.03119485613175822
camigl10,camigl10,,303,479,98,14319,Eastern Time (US & Canada),0,0,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.06602955,266,7.349083140198683E-4,0.1666666716337204,0.0
matazaleras97,matazaleras97,,378,478,19425,64349,Madrid,0,3,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.027435856,267,0.0012783528723108596,0.5,0.004165584184120854
nadalvettel,nadalvettel,,510,476,9076,2446,,0,3,1,2,3,1.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,0.027435856,268,0.0012783528723108596,0.5,0.004165584184120854
negro_piero,negro_piero,,584,466,4317,11497,,0,2,0,3,3,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.055645853,269,7.349083140198683E-4,0.1666666716337204,0.0
carolbrnal,carolbrnal,,957,456,29981,86572,Hawaii,0,2,0,3,3,0.0,3.0,3.0,2.0,0.8,0.875,0.0,0.0,0.023690313,270,7.349083140198683E-4,0.1666666716337204,0.0
cdl450tvr,cdl450tvr,,1818,453,7233,2145,,0,8,0,3,3,0.0,3.0,3.0,2.0,0.8,0.875,0.0,0.0,0.025400974,271,7.349083140198683E-4,0.1666666716337204,0.0
aniketkhomane,aniketkhomane,,247,450,20976,11,,0,4,0,4,4,0.0,4.0,4.0,2.0,0.8333333333333334,0.9,0.0,0.0,0.047059033,272,7.349083140198683E-4,0.0,0.0
io_miky,io_miky,,326,448,49641,19148,Sydney,0,1,1,3,4,1.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.028801039,273,0.0010255514133666109,0.3333333432674408,0.004165584184120854
julien_f1,julien_f1,,559,444,1539,64,Amsterdam,0,0,0,3,3,0.0,3.0,3.0,2.0,0.8,0.875,0.0,0.0,0.035232794,274,7.349083140198683E-4,0.0,0.0
f1fanster1217,f1fanster1217,,2708,440,2431,1842,,0,8,0,4,4,0.0,4.0,4.0,2.0,0.75,0.8333333333333334,0.0,0.0,0.046650782,275,7.349083140198683E-4,0.0,0.0
ivanngfok,ivanngfok,,369,435,19917,786,Buenos Aires,0,3,1,3,4,1.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.055047724,276,0.0010255514133666109,0.5,0.004165584184120854
odamax41,odamax41,,131,429,10651,2854,,0,6,0,3,3,0.0,3.0,3.0,2.0,0.7142857142857143,0.8,0.0,0.0,0.029358469,277,7.349083140198683E-4,0.0,0.0
naz3em,naz3em,,191,426,82414,3498,,0,0,0,5,5,0.0,5.0,5.0,2.0,0.8571428571428571,0.9166666666666666,0.0,0.0,0.08355206,278,7.349083140198683E-4,0.10000000149011612,0.0
ikolataworld,ikolataworld,,356,425,32175,53827,Athens,0,3,1,3,4,1.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,0.055047724,279,0.0010255514133666109,0.5,0.004165584184120854
