Source;Target;weight
fishtrenado;carlossainz55;1.0
fishtrenado;laf1surcanal;1.0
fishtrenado;motorlat;1.0
fishtrenado;telemetricof1;1.0
fishtrenado;fia;1.0
irina05791;ausgrandprix;1.0
irina05791;f1;1.0
irina05791;lewishamilton;1.0
irina05791;mercedesamgf1;1.0
mardiso20;skysportf1hd;1.0
mardiso20;skysport;1.0
mardiso20;scuderiaferrari;1.0
protiereclaude;enricotornello;1.0
protiereclaude;kvyatofficial;1.0
protiereclaude;tororossospy;1.0
marco_rv94;valtteribottas;1.0
marco_rv94;lewishamilton;1.0
marco_rv94;skysportf1hd;1.0
smurf_118;wtf1official;1.0
smurf_118;scuderiaferrari;1.0
smurf_118;f1;1.0
smurf_118;therealdcf1;1.0
smurf_118;c4f1;1.0
smurf_118;mercedesamgf1;1.0
smurf_118;valtteribottas;1.0
smurf_118;lewishamilton;1.0
perhapschiba;pirellisport;1.0
perhapschiba;f1;1.0
perhapschiba;danielricciardo;1.0
amitsingh8888;oconesteban;1.0
amitsingh8888;forceindiaf1;1.0
amitsingh8888;f1;1.0
cohenleoncarlos;wtf1official;1.0
cohenleoncarlos;scuderiaferrari;1.0
cohenleoncarlos;f1;1.0
jeantonnerot;michaelcarus0;1.0
jeantonnerot;toddkellyracing;1.0
jeantonnerot;nissan_msport;1.0
jenlove48;scuderiafe;1.0
jenlove48;vettel_formel1;1.0
jenlove48;scuderiaferrari;1.0
masterlap_com;masterlap_com;1.0
masterlap_com;valtteribottas;1.0
masterlap_com;lewishamilton;1.0
ivanngfok;ivanngfok;1.0
ivanngfok;scuderiaferrari;1.0
ivanngfok;f1;1.0
rach_f1;ffsgiovinco;1.0
rach_f1;alexs1man;1.0
awaisssss_;f1;1.0
awaisssss_;scuderiaferrari;1.0
awaisssss_;suttonimages;1.0
awaisssss_;mercedesamgf1;1.0
awaisssss_;lewishamilton;1.0
awaisssss_;valtteribottas;1.0
skysport;oconesteban;1.0
skysport;anto_giovinazzi;1.0
skysport;skysportf1hd;1.0
matazaleras97;scuderiaferrari;1.0
arseniy1980;ausgrandprix;1.0
arseniy1980;f1;1.0
arseniy1980;lewishamilton;1.0
arseniy1980;mercedesamgf1;1.0
arseniy1980;valtteribottas;1.0
alayzell20297;essaarmsport;1.0
f1fanster1217;mercedesamgf1;1.0
f1fanster1217;scuderiaferrari;1.0
f1fanster1217;formulahumor;1.0
f1fanster1217;gianludale27;1.0
fia_formula_1;fia_formula_1;1.0
djpbut;fia_formula_1;1.0
djpbut;f1fanatic_co_uk;1.0
djpbut;max33verstappen;1.0
djpbut;redbullracing;1.0
djpbut;forceindiaf1;1.0
djpbut;massafelipe19;1.0
djpbut;williamsracing;1.0
messieterno;movistar_f1;1.0
messieterno;noemidemiguel;1.0
messieterno;pirellisport;1.0
alpdavies;scuderiaferrari;1.0
alpdavies;mercedesamgf1;1.0
alpdavies;lewishamilton;1.0
ladakatokkon;f1;1.0
ladakatokkon;ladakatokkon;1.0
f1_daniel5;gianludale27;1.0
pierostracuzzi1;sebvettelnews;1.0
pierostracuzzi1;valtteribottas;1.0
pierostracuzzi1;lewishamilton;1.0
pierostracuzzi1;skysportf1hd;1.0
pierostracuzzi1;scuderiaferrari;1.0
pierostracuzzi1;f1;1.0
smr_200;forceindiaf1;1.0
smr_200;scuderiaferrari;1.0
smr_200;f1;1.0
mngming88;ausgrandprix;1.0
mngming88;f1;1.0
mngming88;skysportsf1;1.0
mngming88;scuderiaferrari;1.0
mngming88;kl_motorsport;1.0
glfioravanti;sebvettelnews;1.0
glfioravanti;glfioravanti;1.0
motorlat;fia;1.0
motorlat;motorlat;1.0
motorlat;pirellisport;1.0
sergiogvidrio;valtteribottas;1.0
sergiogvidrio;lewishamilton;1.0
sergiogvidrio;mercedesamgf1;1.0
sergiogvidrio;mercedesbenzmx;1.0
f1fanske;f1fanske;1.0
f1fanske;f1;1.0
f1fanske;scuderiaferrari;1.0
iclaud90;oconesteban;1.0
iclaud90;anto_giovinazzi;1.0
iclaud90;skysportf1hd;1.0
guanmingy;kl_motorsport;1.0
guanmingy;ausgrandprix;1.0
guanmingy;f1;1.0
guanmingy;skysportsf1;1.0
guanmingy;scuderiaferrari;1.0
bravofernandof1;bravofernandof1;1.0
filhopaulo2012;sebvettelnews;1.0
filhopaulo2012;scuderiaferrari;1.0
filhopaulo2012;f1;1.0
en_aizuddin;mercedesamgf1;1.0
en_aizuddin;scuderiaferrari;1.0
en_aizuddin;formulahumor;1.0
nadalvettel;nadalvettel;1.0
nadalvettel;scuderiaferrari;1.0
alejand20099936;pirellisport;1.0
alejand20099936;mercedesbenzmx;1.0
alejand20099936;mercedesamgf1;1.0
alejand20099936;f1;1.0
alejand20099936;tororossospy;1.0
alejand20099936;redbullracing;1.0
alejand20099936;valtteribottas;1.0
alejand20099936;f1fanatic_co_uk;1.0
alejand20099936;nico_rosberg;1.0
alejand20099936;hulkhulkenberg;1.0
alejand20099936;renaultsportf1;1.0
alejand20099936;oconesteban;1.0
alejand20099936;forceindiaf1;1.0
alejand20099936;ausgrandprix;1.0
alejand20099936;scuderiaferrari;1.0
alejand20099936;kvyatofficial;1.0
alejand20099936;lewishamilton;1.0
alejand20099936;svandoorne;1.0
luizeduardo1311;valtteribottas;1.0
luizeduardo1311;f1;1.0
luizeduardo1311;scuderiaferrari;1.0
proassad;momentsau;1.0
proassad;bbcsport;1.0
proassad;scuderiaferrari;1.0
proassad;f1;1.0
proassad;max33verstappen;1.0
proassad;valtteribottas;1.0
proassad;mercedesamgf1;1.0
proassad;svandoorne;1.0
proassad;ausgrandprix;1.0
proassad;oconesteban;1.0
proassad;forceindiaf1;1.0
erickreynal;carlossainz55;1.0
erickreynal;f1;1.0
erickreynal;tororossospy;1.0
erickreynal;kvyatofficial;1.0
skysportf1hd;anto_giovinazzi;1.0
vittoria510;anto_giovinazzi;1.0
vittoria510;oconesteban;1.0
vittoria510;skysportf1hd;1.0
adhyra80;scuderiaferrari;1.0
adhyra80;f1;1.0
blueboopsc;kvyatofficial;1.0
blueboopsc;ausgrandprix;1.0
blueboopsc;wtf1official;1.0
micholspalag;scuderiaferrari;1.0
micholspalag;f1;1.0
micholspalag;forof1paraguay;1.0
januszcwikla;mercedesamgf1;1.0
aitor10000;alo_oficial;1.0
aitor10000;lewishamilton;1.0
aitor10000;mercedesamgf1;1.0
brianwalkerchi;mercedesamgf1;1.0
brianwalkerchi;scuderiaferrari;1.0
brianwalkerchi;f1;1.0
mexicogp;mexicogp;1.0
ozillemnoslen;formula1fanzone;1.0
ozillemnoslen;scuderiaferrari;1.0
ozillemnoslen;f1;1.0
f1gate;f1gate;1.0
robertoregalad;suttonimages;1.0
robertoregalad;massafelipe19;1.0
robertoregalad;williamsracing;1.0
robertoregalad;scuderiaferrari;1.0
robertoregalad;f1;1.0
robertoregalad;forceindiaf1;1.0
motorsport_ed;motorsport;1.0
motorsport_ed;motorsport_ed;1.0
f1fanatic_co_uk;f1fanatic_co_uk;1.0
mireillebrigit;svandoorne;1.0
mireillebrigit;andersonlaura12;1.0
mireillebrigit;alexs1man;1.0
mireillebrigit;danielricciardo;1.0
mireillebrigit;redbullracing;1.0
mireillebrigit;max33verstappen;1.0
mireillebrigit;f1;1.0
mireillebrigit;mclarenf1;1.0
f1_paraguay;f1_paraguay;1.0
forof1paraguay;f1_paraguay;1.0
br1nster;therealdcf1;1.0
br1nster;c4f1;1.0
br1nster;skysportsf1;1.0
br1nster;fia;1.0
br1nster;f1;1.0
a3formula1;a3formula1;1.0
amsuazac;scuderiaferrari;1.0
amsuazac;gianludale27;1.0
amsuazac;f1;1.0
patrick_henz;gianludale27;1.0
filippo898;skytg24;1.0
filippo898;f1_vettel;1.0
filippo898;f1;1.0
filippo898;valtteribottas;1.0
filippo898;lewishamilton;1.0
filippo898;skysportf1hd;1.0
filippo898;scuderiaferrari;1.0
filippo898;mercedesamgf1;1.0
skysportf1hd;oconesteban;1.0
spina_ls;skysportf1hd;1.0
spina_ls;valtteribottas;1.0
spina_ls;lewishamilton;1.0
iamshaishak;f1;1.0
iamshaishak;scuderiaferrari;1.0
iamshaishak;danielricciardo;1.0
beglamourf1;mclarenf1;1.0
scuderia7;scuderia7;1.0
amirkhanvaned;scuderia7;1.0
amirkhanvaned;f1;1.0
amirkhanvaned;scuderiaferrari;1.0
oto_sports;oto_sports;1.0
oto_sports;tororossospy;1.0
oto_sports;scuderiaferrari;1.0
_moscardino;_moscardino;1.0
enricotornello;enricotornello;1.0
gianludale27;gianludale27;1.0
phonexfly;forceindiaf1;1.0
phonexfly;scuderiaferrari;1.0
phonexfly;f1;1.0
lucaforti4;ausgrandprix;1.0
lucaforti4;lewishamilton;1.0
lucaforti4;danielricciardo;1.0
niall_o87;scuderiaferrari;1.0
niall_o87;f1;1.0
