id;label;timeset;followed;followers;tweets;favorites;time zone
crf_marcoos;crf_marcoos;;541;1498;16862;4924;Brasilia
vitors2000;vitors2000;;2201;1439;158620;1631;Brasilia
jubilantgirl;jubilantgirl;;1154;1400;33349;180;Berlin
mcrisever;mcrisever;;100;1382;327100;49;Buenos Aires
karol__crf;karol__crf;;942;1350;27767;1958;
jeejily;jeejily;;3173;1326;148176;8005;
72kareem;72kareem;;1322;1306;2581;2120;
ffsgiovinco;ffsgiovinco;;2744;1282;64126;35551;Quito
johnefekute;johnefekute;;672;1250;48058;76;Amsterdam
fatimazahra_s;fatimazahra_s;;1078;1250;13252;379;Pretoria
patrick_henz;patrick_henz;;2002;1218;40147;848;Eastern Time (US & Canada)
acarrilloa72;acarrilloa72;;1984;1216;41264;401;
yt5528;yt5528;;1244;1208;52122;6456;Tokyo
ozillemnoslen;ozillemnoslen;;2055;1201;11816;3014;Eastern Time (US & Canada)
fhollauf;fhollauf;;2166;1194;6196;2548;Hawaii
kendizzlex3;kendizzlex3;;427;1142;136700;42701;Berlin
ajl_f1;ajl_f1;;969;1140;4439;4309;Pacific Time (US & Canada)
carlitosj2011;carlitosj2011;;4002;1092;179607;722;Santiago
sergiogvidrio;sergiogvidrio;;1260;1084;7413;63115;Guadalajara
pieroladisa;pieroladisa;;3061;1049;5453;2157;Pacific Time (US & Canada)
correntable;correntable;;296;1028;107676;811;Amsterdam
real_reka_chips;real_reka_chips;;2003;1003;25973;6019;Budapest
nuzzl33man;nuzzl33man;;2268;1003;12875;11320;
hadymawasy;hadymawasy;;1522;1002;113430;15814;Riyadh
thaisbehs;thaisbehs;;1297;955;192971;2838;Brasilia
alpdavies;alpdavies;;2207;949;18318;441;London
arseniy1980;arseniy1980;;5001;903;46526;41312;
formulahumor;formulahumor;;39;894;5228;2506;Rome
willie_blanton;willie_blanton;;158;892;58477;68923;Eastern Time (US & Canada)
1986juventus;1986juventus;;2011;889;15792;14025;Pacific Time (US & Canada)
juanbernalm;juanbernalm;;866;883;98902;5742;Bogota
fabi59460;fabi59460;;4453;882;60650;55972;
mohdawwal_;mohdawwal_;;277;879;13539;1532;
georgeyhowson95;georgeyhowson95;;604;861;8795;3736;Casablanca
fishtrenado;fishtrenado;;5000;835;242039;159745;Mexico City
fc3srx7rx7;fc3srx7rx7;;1231;824;46333;28722;
mathhscosta;mathhscosta;;407;821;20246;5731;Brasilia
filippo898;filippo898;;5001;818;140457;112138;Rome
hedelmelo;hedelmelo;;1646;799;5158;124;La Paz
chrissiehotspur;chrissiehotspur;;2321;798;15415;5847;Sydney
the_awesone_19;the_awesone_19;;1063;787;51756;1559;Rome
serafinicole;serafinicole;;693;782;10810;4208;Athens
fiendkh__xlil;fiendkh__xlil;;402;754;66564;45107;Pacific Time (US & Canada)
h3r3w3g03;h3r3w3g03;;161;752;8498;1794;Pacific Time (US & Canada)
darioarv;darioarv;;1246;750;25378;852;Bogota
avracing6;avracing6;;1055;746;2214;436;
robinso47933191;robinso47933191;;2153;739;61950;187103;
alycienta_44;alycienta_44;;954;722;30471;5471;Rome
tindelcristhian;tindelcristhian;;707;718;7092;488;Santiago
americoscatena;americoscatena;;2391;715;15766;31271;
siddiqbashar;siddiqbashar;;728;711;19110;6202;Central Time (US & Canada)
federicolescano;federicolescano;;934;696;18438;5287;Santiago
blueboopsc;blueboopsc;;1135;690;20772;2924;America/Mexico_City
lauraduracell;lauraduracell;;927;671;22730;4665;Athens
pimsterenberg;pimsterenberg;;376;668;79653;73716;
bizzartino;bizzartino;;482;660;14141;8597;Quito
kleoshloss1;kleoshloss1;;1377;653;7930;1188;Moscow
gucepeda;gucepeda;;606;635;7340;2179;Buenos Aires
adolfomontalvop;adolfomontalvop;;573;629;6314;1255;Mexico City
lucasdeu;lucasdeu;;499;629;44140;10254;Buenos Aires
anamariia_k;anamariia_k;;396;627;52639;11426;Amsterdam
teamamgf1;teamamgf1;;2274;627;10131;3457;
emma2kroby;emma2kroby;;577;618;30867;3795;
robertobaann;robertobaann;;1307;589;38766;5203;Caracas
