id;label;timeset;followed;followers;tweets;favorites;time zone;modularity_class
amazingmotors;amazingmotors;;4961;1205;7196;6394;London;0
anitxss;anitxss;;406;1202;7642;7422;Pacific Time (US & Canada);0
ozillemnoslen;ozillemnoslen;;2055;1201;11816;3014;Eastern Time (US & Canada);3
tristanmarchent;tristanmarchent;;836;1198;13356;13473;London;0
marissali;marissali;;252;1197;1114;287;Quito;0
gregorflores;gregorflores;;1109;1196;15864;2386;Hawaii;0
_alvss;_alvss;;350;1196;117618;8105;Lisbon;0
charlucci_18;charlucci_18;;1058;1195;9827;864;Amsterdam;0
fhollauf;fhollauf;;2166;1194;6196;2548;Hawaii;3
maheepferrari;maheepferrari;;250;1192;1200;842;London;0
duizendsta;duizendsta;;4387;1192;44208;8803;Amsterdam;0
7a9xizzn5ysmmpk;7a9xizzn5ysmmpk;;2658;1189;6662;22983;;0
checo_grizzly;checo_grizzly;;1884;1187;29825;676;Mexico City;0
lucygreeeen;lucygreeeen;;327;1182;9535;3240;Amsterdam;0
gracerd1;gracerd1;;802;1181;5905;562;Eastern Time (US & Canada);0
itsmirjan;itsmirjan;;1031;1180;36647;5676;London;0
jontorres2;jontorres2;;984;1179;20640;28461;Amsterdam;0
moneymatt1234;moneymatt1234;;1126;1179;108465;17294;Eastern Time (US & Canada);0
fimdogrid;fimdogrid;;902;1178;13755;13086;Tokyo;0
joaolucio;joaolucio;;499;1173;56581;152;Lisbon;0
giannimacheda;giannimacheda;;1122;1173;5793;5302;Rome;0
p2pc2e;p2pc2e;;1312;1172;28929;7733;Casablanca;0
edisonlsm;edisonlsm;;2285;1170;108610;11126;Brasilia;0
arkanoia;arkanoia;;1263;1167;4965;247;Chennai;0
graining_es;graining_es;;489;1165;1043;1294;London;0
thato_hollauf;thato_hollauf;;1013;1163;7213;235;London;0
jwillmesquita;jwillmesquita;;1886;1161;68384;32564;Brasilia;0
jorgeruizo8;jorgeruizo8;;847;1161;24015;8332;Madrid;0
fatih_uskal;fatih_uskal;;886;1158;4342;1763;;0
jokkenethomas;jokkenethomas;;307;1157;59880;4885;Nairobi;0
purestoragede;purestoragede;;91;1154;364;87;Bern;0
elfan_n;elfan_n;;833;1150;14972;10;Hawaii;0
ale_brex;ale_brex;;195;1149;2772;1137;Greenland;0
autolightpros;autolightpros;;134;1145;6373;4;;0
melissadee7;melissadee7;;2564;1143;1647;1497;;0
kendizzlex3;kendizzlex3;;427;1142;136700;42701;Berlin;0
ajl_f1;ajl_f1;;969;1140;4439;4309;Pacific Time (US & Canada);1
biological_dr;biological_dr;;785;1140;16813;3471;Central Time (US & Canada);0
gonzalolim;gonzalolim;;254;1138;87695;7;;0
thekingserpi;thekingserpi;;1659;1129;16687;4420;Belgrade;0
lilian_f1;lilian_f1;;1344;1129;2000;4928;Ljubljana;0
littletrask;littletrask;;1753;1127;12833;18328;;0
metho9999;metho9999;;1118;1122;4617;487;;0
virgiesv19;virgiesv19;;1093;1119;56767;4725;Paris;0
itscarlotta_;itscarlotta_;;538;1116;73991;8970;Rome;0
ihshaniqbal;ihshaniqbal;;991;1115;10064;10138;Riyadh;0
alesscapriti;alesscapriti;;444;1114;82633;4249;Quito;0
teemurytknen;teemurytknen;;503;1113;63202;27136;Pacific Time (US & Canada);0
valecosta87;valecosta87;;720;1113;6709;2256;Rome;0
ralf34r;ralf34r;;1311;1112;61923;30683;Tokyo;0
eddiecheeveriii;eddiecheeveriii;;465;1110;776;842;Belgrade;0
asad_133;asad_133;;2357;1109;65211;9822;Pretoria;0
twitkatyperry;twitkatyperry;;932;1104;7315;96;Jakarta;0
yinabarrera;yinabarrera;;760;1100;27716;1823;Caracas;0
seanareid;seanareid;;1844;1097;3139;124;Pacific Time (US & Canada);0
thomascomerfor1;thomascomerfor1;;1747;1096;3223;620;London;0
carlitosj2011;carlitosj2011;;4002;1092;179607;722;Santiago;0
arthurguad;arthurguad;;2125;1090;1836;557;;0
dechred;dechred;;1958;1089;43544;24799;Quito;0
kakip_gt;kakip_gt;;1131;1088;18231;754;Tokyo;0
devilmatrixus;devilmatrixus;;355;1087;8571;1000;;0
ricardocorrall;ricardocorrall;;1714;1085;3274;362;Mountain Time (US & Canada);0
sergiogvidrio;sergiogvidrio;;1260;1084;7413;63115;Guadalajara;2
stephanegenti;stephanegenti;;979;1084;7412;1107;Paris;0
filipfritz1;filipfritz1;;1792;1081;37523;53106;Bratislava;0
flashandfatstig;flashandfatstig;;1957;1076;7773;1199;London;0
katiemariea87;katiemariea87;;2146;1076;44792;36654;Atlantic Time (Canada);0
racineplumbing;racineplumbing;;1147;1076;1097;82;Central Time (US & Canada);0
kazbornxxxx5f7;kazbornxxxx5f7;;1006;1075;26388;36;Tokyo;0
ericdavidson201;ericdavidson201;;4775;1074;34876;98;Hawaii;0
motoradsuk;motoradsuk;;1214;1073;3790;277;Amsterdam;0
chockeyboy;chockeyboy;;1470;1073;39989;19833;;0
franceracing_f1;franceracing_f1;;365;1071;2423;422;Paris;0
alnarvi;alnarvi;;2188;1071;5938;49;Caracas;0
forzaferrari5_7;forzaferrari5_7;;1021;1063;10302;7675;Eastern Time (US & Canada);0
raullomonaco;raullomonaco;;1896;1061;23286;146;Caracas;0
fsm67;fsm67;;522;1059;8704;2563;Athens;0
cmcmotorsports;cmcmotorsports;;4997;1054;255;496;Pacific Time (US & Canada);0
dehflowers;dehflowers;;1231;1053;30146;5378;Dublin;0
binnysedai;binnysedai;;2246;1053;3435;5307;;0
maridesi9624;maridesi9624;;793;1051;45962;78958;;0
pieroladisa;pieroladisa;;3061;1049;5453;2157;Pacific Time (US & Canada);8
mike_terrazas;mike_terrazas;;1069;1049;15487;2376;Mexico City;0
badousambague;badousambague;;97;1048;4396;2885;Pacific Time (US & Canada);0
oscarsalicetti;oscarsalicetti;;3138;1046;20827;7673;Eastern Time (US & Canada);0
f1anaticgp;f1anaticgp;;76;1043;1136;459;Amsterdam;0
seguhds;seguhds;;1149;1043;17245;16654;;0
conorlagrue_ssc;conorlagrue_ssc;;416;1042;1295;223;;0
afrodiasporan;afrodiasporan;;360;1041;22758;1;Quito;0
lightdegree;lightdegree;;1341;1041;1774;116;;0
hyadesone;hyadesone;;721;1040;143034;4141;Tokyo;0
niha1567;niha1567;;673;1040;3956;1180;Mumbai;0
ngutierrez0;ngutierrez0;;1012;1038;22863;20848;Pacific Time (US & Canada);0
lucas_746;lucas_746;;340;1038;130687;105098;Pacific Time (US & Canada);0
vival111;vival111;;3496;1037;12244;8350;Europe/Rome;0
lupakkiotto85;lupakkiotto85;;937;1036;35080;94049;;0
trendsinbritain;trendsinbritain;;556;1036;112234;4;;0
designmoteur;designmoteur;;1876;1035;10894;3971;Paris;0
fanelembuyazi8;fanelembuyazi8;;1657;1035;20125;889;Pacific Time (US & Canada);0
agabedn;agabedn;;1709;1031;10597;10119;Pacific Time (US & Canada);0
amehurashiorz;amehurashiorz;;5001;1031;66936;71337;Tokyo;0
lewishamiltonit;lewishamiltonit;;9;1031;11504;2106;Athens;0
lamvorghini;lamvorghini;;92;1030;61879;10330;Lisbon;0
saigoh_ponta;saigoh_ponta;;548;1029;221226;3008;Tokyo;0
correntable;correntable;;296;1028;107676;811;Amsterdam;0
be_italian_;be_italian_;;1788;1027;47186;1809;Central Time (US & Canada);0
desdelatribunaf;desdelatribunaf;;721;1027;6298;232;;0
scott_gamer;scott_gamer;;2948;1024;52705;0;London;0
_liyanajmldn;_liyanajmldn;;650;1023;41408;6161;;0
zonamixtamx;zonamixtamx;;522;1018;18513;193;Eastern Time (US & Canada);0
majhoola412;majhoola412;;1352;1017;1673;334;Pacific Time (US & Canada);0
gaetanoardagna;gaetanoardagna;;825;1016;1957;67;Caracas;0
venom19c;venom19c;;83;1011;37990;168;Pacific Time (US & Canada);0
fp_passion;fp_passion;;743;1008;12104;11063;London;0
giannimtz;giannimtz;;954;1005;9480;6420;Athens;0
kinyuakelvin2;kinyuakelvin2;;1117;1004;840;48;;0
nuzzl33man;nuzzl33man;;2268;1003;12875;11320;;0
ciaran20591;ciaran20591;;2180;1003;14546;1061;Amsterdam;0
real_reka_chips;real_reka_chips;;2003;1003;25973;6019;Budapest;2
hadymawasy;hadymawasy;;1522;1002;113430;15814;Riyadh;2
diegui73;diegui73;;1037;1001;71894;14385;;0
mas_ahmed;mas_ahmed;;1936;1000;5512;128;;0
meatscales;meatscales;;656;1000;20429;21286;Pacific Time (US & Canada);0
ayuyo_;ayuyo_;;892;999;15598;913;;0
hartochuro;hartochuro;;2153;998;31623;2172;Quito;0
f1corradi;f1corradi;;1983;995;21983;2063;Brasilia;0
berneyes;berneyes;;500;994;14968;2929;Amsterdam;0
netdeporte;netdeporte;;971;994;3111;5;Madrid;0
clemenfernn;clemenfernn;;1019;993;30227;4100;Athens;0
olguitainsfran;olguitainsfran;;2281;993;15276;2681;Central America;0
lusye8;lusye8;;4694;993;6964;1369;;0
walallende;walallende;;535;991;27642;2420;Atlantic Time (Canada);0
marcellopaz;marcellopaz;;2636;989;71344;20970;Brasilia;0
verodlpuerta;verodlpuerta;;1488;987;79507;13148;Hawaii;0
luketbd10;luketbd10;;344;986;33339;27788;;0
18hsv010m;18hsv010m;;620;977;76460;19196;Seoul;0
maxgabi032;maxgabi032;;2390;975;45374;13067;Buenos Aires;0
ivemof;ivemof;;734;975;6978;5491;Mexico City;0
mschupbach34;mschupbach34;;409;974;1028;368;;0
suemillermdr;suemillermdr;;2851;974;7031;898;Pacific Time (US & Canada);0
matty_may_fire;matty_may_fire;;249;971;7929;10366;;0
davidcasanova18;davidcasanova18;;2505;968;7938;6405;Eastern Time (US & Canada);0
theicemanbr;theicemanbr;;723;968;5669;447;Brasilia;0
marjorieh06;marjorieh06;;602;966;62594;9494;Eastern Time (US & Canada);0
ttmobile_au;ttmobile_au;;30;966;98601;0;Ljubljana;0
coachpotatoes;coachpotatoes;;605;966;16018;99;London;0
alfieikhlas;alfieikhlas;;2056;957;19046;760;Kuala Lumpur;0
alanilmagi;alanilmagi;;1225;957;10937;20875;Rome;0
thaisbehs;thaisbehs;;1297;955;192971;2838;Brasilia;4
wminaya;wminaya;;886;954;1151;2296;Central America;0
hiroshi7724;hiroshi7724;;1233;953;2365;451;Tokyo;0
richardtriolo;richardtriolo;;680;953;1726;996;London;0
seicilop;seicilop;;1507;952;11903;8508;London;0
loo7ichi;loo7ichi;;646;952;6556;1168;Paris;0
libertad717;libertad717;;343;951;401250;165;Greenland;0
strachanmatt;strachanmatt;;503;950;5334;661;;0
rumotorsport;rumotorsport;;87;950;14330;3;Minsk;0
alpdavies;alpdavies;;2207;949;18318;441;London;2
rudilotus7;rudilotus7;;1529;949;18215;23072;;0
javiermazeneth;javiermazeneth;;2187;949;6554;442;Bogota;0
1antheny;1antheny;;2288;946;1552;608;Atlantic Time (Canada);0
charlotteramps;charlotteramps;;240;944;15788;765;London;0
drops_f1;drops_f1;;1231;940;7131;823;Brasilia;0
javy_mdj;javy_mdj;;1278;939;28765;870;Madrid;0
kt31kt;kt31kt;;1920;938;19100;5527;Tokyo;0
dretodiwurl;dretodiwurl;;623;933;113644;7759;Bogota;0
bayuajiwr;bayuajiwr;;613;933;143928;598;Jakarta;0
andreuchalp;andreuchalp;;1634;932;21587;166;Caracas;0
oliver_106;oliver_106;;580;932;20060;815;Quito;0
formulahumor;formulahumor;;39;931;5273;2560;Rome;2
24mowens;24mowens;;2882;929;105994;8770;Pacific Time (US & Canada);0
mr_imade;mr_imade;;876;928;29359;1008;Amsterdam;0
juliob_01;juliob_01;;405;927;30814;9524;Brasilia;0
ecaruseleaffar;ecaruseleaffar;;2482;926;456;505;Rome;0
richardkhanjr;richardkhanjr;;363;924;35238;299;Eastern Time (US & Canada);0
dcgcos;dcgcos;;343;920;125557;34350;;0
swdesign213;swdesign213;;571;917;5435;5535;;0
nathan_f12012;nathan_f12012;;1692;913;2234;2803;London;0
lanoru;lanoru;;1092;910;44740;3808;Tokyo;0
storkpatrick;storkpatrick;;117;908;51146;53;Berlin;0
i_r_def;i_r_def;;880;905;3723;656;;0
enzo7466;enzo7466;;4258;904;16855;20826;Pacific Time (US & Canada);0
arseniy1980;arseniy1980;;5001;903;46526;41312;;2
noeliiipa;noeliiipa;;798;901;24150;5073;Athens;0
esslercart;esslercart;;2147;898;8498;819;Caracas;0
sofiaisfabul0us;sofiaisfabul0us;;814;897;33458;5990;Hawaii;0
scuderiaf1pod;scuderiaf1pod;;751;897;1416;426;;0
willie_blanton;willie_blanton;;158;894;58502;68950;Eastern Time (US & Canada);3
natalievndelden;natalievndelden;;2848;893;2334;807;London;0
1986juventus;1986juventus;;2013;890;15798;14036;Pacific Time (US & Canada);7
anicheoflight;anicheoflight;;229;888;6933;492;Harare;0
raulyeste;raulyeste;;3148;886;3924;1709;Berlin;0
hannahhou;hannahhou;;458;885;24838;82;Hawaii;0
2getherthrulife;2getherthrulife;;364;885;17018;7052;;0
bernard_lorde;bernard_lorde;;233;883;21465;2251;;0
juanbernalm;juanbernalm;;866;882;98918;5741;Bogota;5
fabi59460;fabi59460;;4453;882;60650;55972;;4
boomerangmadi;boomerangmadi;;1850;880;10777;4930;Melbourne;0
mohdawwal_;mohdawwal_;;277;879;13539;1532;;2
davidi0us;davidi0us;;779;878;5450;115;London;0
salvobracchitta;salvobracchitta;;1988;877;118167;512;Amsterdam;0
lotus_87s;lotus_87s;;878;876;25126;13227;Tokyo;0
f1journaal;f1journaal;;197;876;15919;50;Brussels;0
ajicurlyhair;ajicurlyhair;;422;875;81031;10812;Jakarta;0
stevensalced;stevensalced;;3938;875;19261;55120;Bogota;0
formigoal;formigoal;;609;874;12923;6741;;0
ireneuszsiwiec;ireneuszsiwiec;;1522;872;14708;24555;;0
alfredo93323147;alfredo93323147;;1790;871;25804;132012;;0
claudiaspanu2;claudiaspanu2;;992;870;40923;6076;;0
skellingtor;skellingtor;;640;870;12856;7387;Brasilia;0
de_sand21;de_sand21;;2200;869;93410;128097;Rome;0
dani8671;dani8671;;2138;869;52334;3953;Buenos Aires;0
f1_obsessive;f1_obsessive;;125;867;33621;581;London;0
mxbernard;mxbernard;;299;865;28040;24275;;0
hohi657;hohi657;;1752;865;656;232;Pacific Time (US & Canada);0
ftartoni03;ftartoni03;;4997;865;16613;13617;Rome;0
f1forsale;f1forsale;;2144;863;6259;1040;Pacific Time (US & Canada);0
mer_canet;mer_canet;;650;863;2024;7313;;0
georgeyhowson95;georgeyhowson95;;604;861;8795;3736;Casablanca;1
nickupton;nickupton;;1379;853;19925;5188;London;0
97hecper;97hecper;;870;851;13652;5916;;0
pattymeel;pattymeel;;1275;851;82261;3376;Santiago;0
ttmobile_ch;ttmobile_ch;;30;850;77522;0;;0
mjl_20;mjl_20;;740;850;7258;12468;Santiago;0
marcodimarc;marcodimarc;;926;849;10668;3523;Pacific Time (US & Canada);0
antibadlin;antibadlin;;1736;846;7486;8132;Midway Island;0
iamvuyojoy;iamvuyojoy;;814;846;15665;969;Pretoria;0
alexvittadello;alexvittadello;;208;846;32802;126;Rome;0
luchy0301;luchy0301;;927;844;10677;60;Caracas;0
andyvela_jb;andyvela_jb;;1997;844;57037;857;Mexico City;0
tm_acy;tm_acy;;718;844;3128;249;;0
igarbor;igarbor;;1789;843;29329;26906;Mexico City;0
connieannkirk;connieannkirk;;293;843;11313;652;Eastern Time (US & Canada);0
anna_platania;anna_platania;;3178;842;10501;12565;;0
lucamana82;lucamana82;;637;842;4836;362;Rome;0
takervazquez;takervazquez;;692;840;39364;15433;Greenland;0
fishtrenado;fishtrenado;;5001;836;242171;159794;Mexico City;7
samantha_fz;samantha_fz;;505;836;16556;112;;0
rubenvicente;rubenvicente;;815;836;21715;1533;Lisbon;0
juanfernandodt;juanfernandodt;;838;834;28461;2006;Madrid;0
mayroncsb;mayroncsb;;1304;833;140529;1355;Brasilia;0
yuka_kirishima;yuka_kirishima;;184;832;10702;2705;;0
celia_crm;celia_crm;;501;829;28434;31991;;0
mondosedai;mondosedai;;2408;829;20323;16017;Tokyo;0
lingewaardnl;lingewaardnl;;402;829;11407;0;;0
pnbangchan98;pnbangchan98;;178;828;164776;192;Jakarta;0
as_sakimori;as_sakimori;;119;827;449580;18;Tokyo;0
abog_aurinegro;abog_aurinegro;;642;827;28795;3645;Buenos Aires;0
jiglesiash11;jiglesiash11;;627;826;21975;4503;Madrid;0
diggrich_;diggrich_;;690;826;89958;5286;Amsterdam;0
fc3srx7rx7;fc3srx7rx7;;1231;824;46333;28722;;3
czsvo;czsvo;;286;823;84706;12928;Brasilia;0
adelegreen89;adelegreen89;;995;822;33488;5290;London;0
mathhscosta;mathhscosta;;407;821;20246;5731;Brasilia;2
filippo898;filippo898;;5001;820;140494;112173;Rome;2
nyepez;nyepez;;935;820;26491;2698;Bogota;0
ferrafquel;ferrafquel;;587;820;31217;6372;Amsterdam;0
gregoriordan11;gregoriordan11;;692;818;333;568;;0
10noq;10noq;;224;815;8844;157;;0
molinem96;molinem96;;185;814;12292;2622;Amsterdam;0
rhedersilva;rhedersilva;;1766;814;300;1667;Central Time (US & Canada);0
rodriguezyx;rodriguezyx;;1897;813;636;35;Eastern Time (US & Canada);0
projectmoffatt;projectmoffatt;;858;813;7501;727;London;0
mammanunmat64;mammanunmat64;;763;813;50355;19934;;0
backup_wizard;backup_wizard;;636;810;1525;553;Pacific Time (US & Canada);0
ibenevides23;ibenevides23;;526;809;15611;652;Brasilia;0
mativeraaa;mativeraaa;;711;809;25925;6183;;0
cjlatimer16;cjlatimer16;;572;808;59498;5166;;0
simonebanfi70;simonebanfi70;;1727;808;16122;10828;;0
colchester1891;colchester1891;;1953;807;107607;3991;Central Time (US & Canada);0
hoppeta3131;hoppeta3131;;2179;805;31627;3438;;0
iwallbreaker;iwallbreaker;;218;804;139733;164691;Greenland;0
svclois;svclois;;149;803;167537;561;Paris;0
teaganjo_;teaganjo_;;374;803;14022;1381;London;0
brendalpz_;brendalpz_;;549;801;38826;1976;Mexico City;0
irishblainef1;irishblainef1;;715;800;19184;1349;Dublin;0
maatiasportillo;maatiasportillo;;775;800;13712;11643;Buenos Aires;0
hedelmelo;hedelmelo;;1646;799;5158;124;La Paz;0
stedge27;stedge27;;480;798;45279;15449;;0
shaatehab;shaatehab;;290;798;10018;224;;0
briandonking;briandonking;;2405;798;29404;1287;Baghdad;0
writtenbysayre;writtenbysayre;;1521;798;367;183;Pacific Time (US & Canada);0
franciscoadelfo;franciscoadelfo;;2204;798;1882;8;;0
chrissiehotspur;chrissiehotspur;;2321;798;15415;5847;Sydney;0
jesuscorral19;jesuscorral19;;5001;797;640797;50;Belgrade;0
daniborjabad6;daniborjabad6;;2172;796;6836;1958;;0
repcelticspain;repcelticspain;;1970;793;4341;891;;0
danupedreschi;danupedreschi;;1965;791;2910;915;Central Time (US & Canada);0
capturetheevent;capturetheevent;;1649;789;2381;1837;London;0
felipeherrerat;felipeherrerat;;292;788;11463;255;;0
pedalafondonet;pedalafondonet;;1003;788;33051;790;La Paz;0
the_awesone_19;the_awesone_19;;1063;787;51756;1559;Rome;8
nelson_1jr;nelson_1jr;;1466;786;96581;36637;Brasilia;0
antiahanoz;antiahanoz;;896;785;18604;2350;Mumbai;0
abidi_chadha;abidi_chadha;;2039;785;13899;33778;London;0
david_con;david_con;;1579;785;35306;191;Hawaii;0
humormotorsport;humormotorsport;;18;783;539;37;;0
leuvelink;leuvelink;;1681;782;24278;6370;;0
pm_juanpipermar;pm_juanpipermar;;4993;782;12476;19171;;0
serafinicole;serafinicole;;693;782;10810;4208;Athens;2
jodiee_grist;jodiee_grist;;624;781;9706;783;;0
ynara_mcfly;ynara_mcfly;;688;780;50971;1583;London;0
doblegar;doblegar;;1657;780;15162;32;Madrid;0
itsanazzle;itsanazzle;;555;779;8544;505;Jakarta;0
professorino58;professorino58;;1356;774;7838;93;;0
mandingaevery1d;mandingaevery1d;;1999;774;12034;1728;Madrid;0
reymon1963;reymon1963;;1856;772;10184;1532;London;0
paddockgpworld;paddockgpworld;;605;770;10440;5976;London;0
abhishek_takle;abhishek_takle;;1685;770;3676;409;New Delhi;0
zig27;zig27;;414;769;6610;7896;Pacific Time (US & Canada);0
giannikel;giannikel;;1034;769;30950;2660;Brasilia;0
_mahanem;_mahanem;;686;769;3104;122;Pretoria;0
rachelmclayton;rachelmclayton;;669;769;4104;5777;Casablanca;0
upupa234;upupa234;;754;768;99322;76146;;0
apharouk;apharouk;;433;768;21073;154;Pacific Time (US & Canada);0
steel_yomi;steel_yomi;;685;767;28316;536;London;0
faezfeakry;faezfeakry;;409;766;87947;442;Alaska;0
vidy126;vidy126;;369;766;155198;1007;Jakarta;0
gpmatteucci;gpmatteucci;;111;764;4700;3965;Amsterdam;0
therealcdrl;therealcdrl;;1804;763;10416;544;London;0
italyinksa;italyinksa;;174;762;1467;894;Riyadh;0
nodlg29;nodlg29;;516;759;67552;3790;Bogota;0
slipknot_83;slipknot_83;;992;759;1433;986;Rome;0
caycedo;caycedo;;272;759;56581;1288;Bogota;0
imehrez;imehrez;;2646;759;29145;1695;Muscat;0
_k0walski;_k0walski;;639;759;7043;624;Pacific Time (US & Canada);0
turbosf1;turbosf1;;239;757;27283;16587;Central Time (US & Canada);0
will_i_am_cyrus;will_i_am_cyrus;;767;757;18497;458;Pacific Time (US & Canada);0
vrigu;vrigu;;531;757;6467;1191;New Delhi;0
motorsportit;motorsportit;;481;755;15455;34;Rome;0
ae86akayuu_;ae86akayuu_;;752;755;17784;7571;;0
fiendkh__xlil;fiendkh__xlil;;402;754;66564;45107;Pacific Time (US & Canada);2
palmer_team;palmer_team;;573;753;5452;7102;Paris;0
vmrvictoria;vmrvictoria;;415;752;32682;169;Eastern Time (US & Canada);0
peercys2;peercys2;;778;752;24926;3799;Mid-Atlantic;0
carolinafloores;carolinafloores;;353;751;95261;1181;Central Time (US & Canada);0
rodsgamboa;rodsgamboa;;428;751;5281;1770;Guadalajara;0
ryan360drumming;ryan360drumming;;1253;750;657;229;Mountain Time (US & Canada);0
darioarv;darioarv;;1246;750;25378;852;Bogota;7
mel_nlmeisje;mel_nlmeisje;;916;749;24610;14898;Berlin;0
tenerefvl;tenerefvl;;2352;748;6791;15022;;0
h3r3w3g03;h3r3w3g03;;166;746;8546;1808;Pacific Time (US & Canada);8
avracing6;avracing6;;1055;746;2214;436;;3
lulahula;lulahula;;557;745;16635;11360;Mountain Time (US & Canada);0
fdorosales;fdorosales;;1358;744;12293;1636;Mexico City;0
taninof1;taninof1;;2428;742;1715;826;;0
ramiroandresr;ramiroandresr;;505;741;78029;968;Eastern Time (US & Canada);0
robhallstrom;robhallstrom;;1292;740;4654;43;Pacific Time (US & Canada);0
robinso47933191;robinso47933191;;2153;739;61950;187103;;2
f1txt;f1txt;;2028;738;3571;912;Pacific Time (US & Canada);0
avanadeaus;avanadeaus;;312;733;1382;423;Sydney;0
f1demexico;f1demexico;;4186;729;274;38;Pacific Time (US & Canada);0
uriiell_ag;uriiell_ag;;721;727;23241;9224;Mexico City;0
f_deeemm;f_deeemm;;391;725;30871;2048;Hawaii;0
alycienta_44;alycienta_44;;954;724;30480;5498;Rome;3
kevinkafka;kevinkafka;;540;724;5518;72889;Belgrade;0
raikiwijaya;raikiwijaya;;86;724;13307;97;Jakarta;0
baru_goldmann;baru_goldmann;;253;724;41363;85085;Prague;0
dstefanovski;dstefanovski;;1286;723;22210;8409;Skopje;0
taniarincn1;taniarincn1;;110;722;9915;0;Pacific Time (US & Canada);0
pablote923;pablote923;;605;719;35663;2274;Madrid;0
tindelcristhian;tindelcristhian;;707;718;7092;488;Santiago;0
trackforumlive;trackforumlive;;542;718;3009;1190;;0
jkt48spa;jkt48spa;;56;717;10151;97;;0
mauivanx;mauivanx;;983;716;11141;370;Central Time (US & Canada);0
americoscatena;americoscatena;;2391;715;15766;31271;;8
henrighdantas;henrighdantas;;366;713;90249;726;Brasilia;0
siddiqbashar;siddiqbashar;;728;711;19110;6202;Central Time (US & Canada);8
lavane027;lavane027;;2331;710;21205;26;;0
craig_alderson;craig_alderson;;969;706;11287;543;London;0
williammendesr9;williammendesr9;;1911;706;63588;11130;America/Sao_Paulo;0
rdsinenglish;rdsinenglish;;5;706;90436;1;Eastern Time (US & Canada);0
popularvall;popularvall;;701;706;5793;188;;0
dursunovic;dursunovic;;400;705;9210;2722;Amsterdam;0
hamhamilham;hamhamilham;;317;702;40668;148;Jakarta;0
pancinivitoria;pancinivitoria;;156;701;34658;8363;Brasilia;0
boxman_mk2;boxman_mk2;;1234;699;38643;19493;London;0
hab74dk;hab74dk;;804;699;42059;6009;Tokyo;0
timwowo;timwowo;;770;698;7666;95;;0
totalracinggr;totalracinggr;;298;698;14053;650;Athens;0
deycorrea;deycorrea;;154;697;20725;2785;Central Time (US & Canada);0
federicolescano;federicolescano;;934;696;18439;5290;Santiago;7
aaandrezz;aaandrezz;;164;696;15054;13726;Athens;0
everydaybeyonce;everydaybeyonce;;206;695;17840;8643;Amsterdam;0
ttmobile_sg;ttmobile_sg;;30;695;66223;0;Ljubljana;0
ederesque;ederesque;;1799;695;35182;20322;Rome;0
pocketclassics;pocketclassics;;1014;694;326;656;;0
cardenaldem;cardenaldem;;905;693;39125;535;Atlantic Time (Canada);0
saragodoy05;saragodoy05;;1997;692;3603;2785;Eastern Time (US & Canada);0
stoffelrat;stoffelrat;;1126;691;20202;191;Brussels;0
hrolf_kraki;hrolf_kraki;;725;691;42778;12017;;0
1012tas_formula;1012tas_formula;;1392;691;70601;6755;Tokyo;0
blueboopsc;blueboopsc;;1135;690;20772;2924;America/Mexico_City;5
jeruel19;jeruel19;;928;688;15891;16804;;0
cm101995;cm101995;;698;688;22951;65644;Chennai;0
fergtzorta;fergtzorta;;280;687;46325;3041;Mountain Time (US & Canada);0
dhruv_shailesh;dhruv_shailesh;;1431;686;13779;3065;London;0
lerchiya;lerchiya;;226;686;23015;11868;Moscow;0
tsukag19;tsukag19;;619;685;4517;54347;;0
latebrakers;latebrakers;;311;684;16114;6016;London;0
letiqh;letiqh;;1730;683;20146;13093;Madrid;0
drmartin2429;drmartin2429;;2139;683;1463;8890;;0
leeahsformula;leeahsformula;;2017;683;27972;895;Muscat;0
adamtoddf1;adamtoddf1;;632;682;91;653;London;0
josuecoronado97;josuecoronado97;;485;682;68962;30977;Central Time (US & Canada);0
almaseelesoul;almaseelesoul;;1152;679;51323;54704;Central Time (US & Canada);0
ferrarinelcuore;ferrarinelcuore;;118;679;10372;1196;;2
lordphaj3804;lordphaj3804;;648;679;26159;340;;0
acronisanz;acronisanz;;54;679;57;25;;0
andrewnehring;andrewnehring;;1552;678;3609;1603;Pacific Time (US & Canada);0
hideki828vettel;hideki828vettel;;646;678;6981;4191;;0
ceddu31_0;ceddu31_0;;2344;676;2156;1529;;0
gilalexandervd;gilalexandervd;;2423;674;11225;6111;;0
inbifolium;inbifolium;;1972;673;18715;4234;London;0
pimsterenberg;pimsterenberg;;376;671;79685;73766;;3
growthknowledge;growthknowledge;;992;671;2738;5039;London;0
lauraduracell;lauraduracell;;927;671;22730;4665;Athens;7
jigiboyk;jigiboyk;;240;669;9964;9598;;0
vincejfc;vincejfc;;699;668;3791;6857;Rome;0
steevenguaychac;steevenguaychac;;797;667;17268;407;Central Time (US & Canada);0
kgibbsgp;kgibbsgp;;1040;666;14394;871;Dublin;0
ale_adp96;ale_adp96;;991;666;2726;1852;Pacific Time (US & Canada);0
carlitagonzalez;carlitagonzalez;;2022;662;29241;17568;;0
sofipareja;sofipareja;;1021;661;24508;8470;Brasilia;0
bizzartino;bizzartino;;482;660;14141;8597;Quito;0
guga_robalino;guga_robalino;;674;659;10433;435;Quito;0
sebibaba88;sebibaba88;;991;659;699;18327;;0
juanmafregossi;juanmafregossi;;374;658;28355;14901;Buenos Aires;0
