type	by	post_id	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_NONE	rea_LIKE	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
photo	post_user_152605961465739	152605961465739_1076318839094442	https://www.facebook.com/152605961465739/posts/1076318839094442		https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/922729_10204294642964963_8593274889956144542_n.jpg?oh=053fb2d2cd849536d581e0e883e8dd4d&oe=5987D095	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/922729_10204294642964963_8593274889956144542_n.jpg?oh=6f7c76601f641974c94b359794640e18&oe=59B7B36A	https://www.facebook.com/photo.php?fbid=10204294642964963&set=gm.1076318839094442&type=3	facebook.com	2016-03-25T16:43:21+0000	1458924201	"2016-03-25 17:43:21"	17	1	17	1	19	1	1	0	0	0	17	0	0	0	0	0	0
photo	post_user_152605961465739	152605961465739_1076313399094986	https://www.facebook.com/152605961465739/posts/1076313399094986	"Semana Santa en Lobras"	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/12523988_965639136877535_9122760953253323885_n.jpg?oh=8dcc65f1702d30169762378cd9827aac&oe=5984BA00	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/12523988_965639136877535_9122760953253323885_n.jpg?oh=4f95fbe9f3ca40642e170c9f6f341b3b&oe=59BD5EFF	https://www.facebook.com/photo.php?fbid=965639136877535&set=gm.1076313399094986&type=3	facebook.com	2016-03-25T16:34:55+0000	1458923695	"2016-03-25 17:34:55"	24	0	24	1	25	0	0	0	0	0	24	0	0	0	0	0	0
photo	post_user_152605961465739	152605961465739_1072619929464333	https://www.facebook.com/152605961465739/posts/1072619929464333		https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/12193610_10204265166028058_8519008915867024456_n.jpg?oh=814aa8f0039c512f2d2db011a672fa1b&oe=59BA2739	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/12193610_10204265166028058_8519008915867024456_n.jpg?oh=37ce1da5044dc7ecb0161363515909c3&oe=59767B34	https://www.facebook.com/photo.php?fbid=10204265166028058&set=gm.1072619929464333&type=3	facebook.com	2016-03-22T11:22:26+0000	1458645746	"2016-03-22 12:22:26"	37	6	38	0	44	6	6	0	4	0	37	1	0	0	0	0	0
photo	post_user_152605961465739	152605961465739_1043235302402796	https://www.facebook.com/152605961465739/posts/1043235302402796	"Mais uma Monteoliva. É minha neta Luna   é uma tataraneta de um Lobreño."	https://scontent.xx.fbcdn.net/v/t1.0-0/s130x130/12651302_10205734066411964_6807761197837204159_n.jpg?oh=af47dc7665a6f2de59871e12b7c06e4c&oe=597583CB	https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/12651302_10205734066411964_6807761197837204159_n.jpg?oh=eb8f21a5cb7604acc93b4bbb88681169&oe=598EB2C6	https://www.facebook.com/photo.php?fbid=10205734066411964&set=gm.1043235302402796&type=3	facebook.com	2016-02-04T02:53:36+0000	1454554416	"2016-02-04 03:53:36"	6	0	6	0	6	0	0	0	0	0	6	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1038921226167537	https://www.facebook.com/152605961465739/posts/1038921226167537						2016-01-27T10:26:52+0000	1453890412	"2016-01-27 11:26:52"	21	0	21	0	21	0	0	0	0	0	21	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1037876179605375	https://www.facebook.com/152605961465739/posts/1037876179605375						2016-01-25T07:21:11+0000	1453706471	"2016-01-25 08:21:11"	13	0	13	0	13	0	0	0	0	0	13	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1031298056929854	https://www.facebook.com/152605961465739/posts/1031298056929854	"Hola. Para los que viven en Lobras  mi primo Fernando Rigalt Monteoliva  con su señora y cuatro hijos el Jueves van a visitar Lobras..."					2016-01-11T23:09:26+0000	1452553766	"2016-01-12 00:09:26"	1	1	1	0	2	1	1	0	0	0	1	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1021663907893269	https://www.facebook.com/152605961465739/posts/1021663907893269						2015-12-23T10:55:33+0000	1450868133	"2015-12-23 11:55:33"	16	1	16	0	17	1	1	0	0	0	16	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1026139980778995	https://www.facebook.com/152605961465739/posts/1026139980778995	"Eu  deixo aqui os meus votos de um feliz ano novo a todos  Beijos  José Antonio e Yvonice."					2016-01-01T15:20:40+0000	1451661640	"2016-01-01 16:20:40"	2	0	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0
status	post_user_152605961465739	152605961465739_1025686910824302	https://www.facebook.com/152605961465739/posts/1025686910824302	"Feliz año nuevo a todos los miembros del grupo"					2015-12-31T17:45:44+0000	1451583944	"2015-12-31 18:45:44"	4	1	4	0	5	1	1	0	0	0	4	0	0	0	0	0	0
