Id,Label,Followed,Followers,Tweets,Favorites,Time Zone
faz_net,faz_net,136,40425,251487,2,Berlin
jonnywilde,jonnywilde,3407,39254,20873,5715,Berlin
paddylowe,paddylowe,60,39216,289,399,
raceofchampions,raceofchampions,898,38938,5383,3706,London
lukbon,lukbon,33399,38907,59393,48162,Europe/London
gpupdate,gpupdate,5278,38405,51461,0,London
healthcure20,healthcure20,1148,37771,6759,1634,Karachi
alfaromeo_es,alfaromeo_es,1103,37664,6860,3837,Madrid
wtf1official,wtf1official,705,37261,18665,463,London
tiametmarduk,tiametmarduk,566,36823,21616,14514,Brisbane
mrstevematchett,mrstevematchett,165,36782,19265,2,Eastern Time (US & Canada)
rogerkolsson,rogerkolsson,35425,36706,17326,1014,Berlin
soymotor,soymotor,250,36625,36765,2598,Madrid
oconesteban,oconesteban,368,36389,1408,1449,London
sorlak_15,sorlak_15,1394,36115,280230,46161,Pacific Time (US & Canada)
andrewheslop,andrewheslop,5001,35817,78722,14028,Melbourne
ehfcl,ehfcl,454,35395,16172,183,Vienna
fmmundo,fmmundo,3059,34592,143591,2039,Central Time (US & Canada)
paul_sacca,paul_sacca,3901,34542,110059,45837,Eastern Time (US & Canada)
prostateuk,prostateuk,2050,34503,20009,5581,London
bah_int_circuit,bah_int_circuit,1912,33812,4354,1494,Kuwait
santandergp,santandergp,116,33800,4436,1594,Madrid
f1_images,f1_images,1869,33784,7460,15229,London
regiomty13,regiomty13,25549,33503,13403,546,Mexico City
trendinaliaec,trendinaliaec,43,33499,336156,5,Quito
opel_spain,opel_spain,1085,33442,8841,9182,Madrid
deejayone,deejayone,1360,32951,14903,957,London
pyepar,pyepar,4216,32827,129049,8400,
mariatgalvis,mariatgalvis,31961,32404,15074,13000,
artilespascual,artilespascual,1036,32402,18749,103,
checopereznews,checopereznews,440,32394,13620,5282,Mountain Time (US & Canada)
amberrudd_mp,amberrudd_mp,2111,32282,2975,114,Dublin
wattlepub,wattlepub,30964,32033,58710,118792,London
espnrun,espnrun,40,32009,7856,162,Buenos Aires
nissan_msport,nissan_msport,445,31276,414,4243,Melbourne
elmundodeportes,elmundodeportes,520,30928,50279,211,Madrid
pumamotorsport,pumamotorsport,1497,30273,6191,6108,London
datslifepodcast,datslifepodcast,32985,30263,2969,1333,
albertfabrega,albertfabrega,482,29981,16993,18134,Brussels
f1fanaticlive,f1fanaticlive,16,29099,41612,1,
lottiluca,lottiluca,323,28497,440,15,
gtporsche,gtporsche,367,27954,6408,273,London
tonicuque,tonicuque,163,27003,143,1,Madrid
laf1surcanal,laf1surcanal,346,26773,3569,419,Paris
autosprint,autosprint,183,26744,41751,339,Rome
torillo59,torillo59,29223,26574,288177,181339,Amsterdam
amarudavid,amarudavid,77,26415,27780,41,Paris
saulgordillo,saulgordillo,4300,26227,34477,9866,Madrid
trendinaliaza,trendinaliaza,43,26148,323588,1,Pretoria
elegbete1,elegbete1,3233,26098,79214,5796,London
crooklynmma,crooklynmma,4875,25641,112605,35929,Pacific Time (US & Canada)
robertdoornboss,robertdoornboss,2755,24698,6230,6852,Amsterdam
smclaughlin93,smclaughlin93,100,24598,5211,1984,Brisbane
totgira,totgira,835,24558,16780,1541,Madrid
jefneve,jefneve,18753,24310,5339,1765,Brussels
